PCODE,NAME,ST_PCODE,FILL_COLOR,BORDER_COLOR,BORDER_WIDTH,LABEL,CATEGORY,LABEL_COLOR,DESCRIPTION
MMR017008,Hinthada,MMR017,#66BB6A,#2E7D32,1.5,Hinthada,Coastal,#333333,
MMR017013,Ingapu,MMR017,#66BB6A,#2E7D32,1.5,Ingapu,Coastal,#333333,
MMR017012,Kyangin,MMR017,#66BB6A,#2E7D32,1.5,Kyangin,Coastal,#333333,
MMR017010,Lemyethna,MMR017,#66BB6A,#2E7D32,1.5,Lemyethna,Coastal,#333333,
MMR017011,Myanaung,MMR017,#66BB6A,#2E7D32,1.5,Myanaung,Coastal,#333333,
MMR017009,Zalun,MMR017,#66BB6A,#2E7D32,1.5,Zalun,Coastal,#333333,
MMR017016,Labutta,MMR017,#66BB6A,#2E7D32,1.5,Labutta,Coastal,#333333,
MMR017018,Mawlamyinegyun,MMR017,#66BB6A,#2E7D32,1.5,Mawlamyinegyun,Coastal,#333333,
MMR017022,Danubyu,MMR017,#66BB6A,#2E7D32,1.5,Danubyu,Coastal,#333333,
MMR017019,Maubin,MMR017,#66BB6A,#2E7D32,1.5,Maubin,Coastal,#333333,
MMR017021,Nyaungdon,MMR017,#66BB6A,#2E7D32,1.5,Nyaungdon,Coastal,#333333,
MMR017020,Pantanaw,MMR017,#66BB6A,#2E7D32,1.5,Pantanaw,Coastal,#333333,
MMR017015,Einme,MMR017,#66BB6A,#2E7D32,1.5,Einme,Coastal,#333333,
MMR017014,Myaungmya,MMR017,#66BB6A,#2E7D32,1.5,Myaungmya,Coastal,#333333,
MMR017017,Wakema,MMR017,#66BB6A,#2E7D32,1.5,Wakema,Coastal,#333333,
MMR017002,Kangyidaunt,MMR017,#66BB6A,#2E7D32,1.5,Kangyidaunt,Coastal,#333333,
MMR017006,Yegyi,MMR017,#66BB6A,#2E7D32,1.5,Yegyi,Coastal,#333333,
MMR017024,Bogale,MMR017,#66BB6A,#2E7D32,1.5,Bogale,Coastal,#333333,
MMR017026,Dedaye,MMR017,#66BB6A,#2E7D32,1.5,Dedaye,Coastal,#333333,
MMR017025,Kyaiklat,MMR017,#66BB6A,#2E7D32,1.5,Kyaiklat,Coastal,#333333,
MMR017023,Pyapon,MMR017,#66BB6A,#2E7D32,1.5,Pyapon,Coastal,#333333,
MMR007001,Bago,MMR007,,,1.5,Bago,,#333333,
MMR007007,Daik-U,MMR007,,,1.5,Daik-U,,#333333,
MMR007003,Kawa,MMR007,,,1.5,Kawa,,#333333,
MMR007006,Kyauktaga,MMR007,,,1.5,Kyauktaga,,#333333,
MMR007014,Htantabin,MMR007,,,1.5,Htantabin,,#333333,
MMR007011,Kyaukkyi,MMR007,,,1.5,Kyaukkyi,,#333333,
MMR007013,Oktwin,MMR007,,,1.5,Oktwin,,#333333,
MMR007012,Phyu,MMR007,,,1.5,Phyu,,#333333,
MMR007009,Taungoo,MMR007,,,1.5,Taungoo,,#333333,
MMR007010,Yedashe,MMR007,,,1.5,Yedashe,,#333333,
MMR008003,Padaung,MMR008,,,1.5,Padaung,,#333333,
MMR017007,Kyaunggon,MMR017,#66BB6A,#2E7D32,1.5,Kyaunggon,Coastal,#333333,
